ACCE_ABSORB_COST	Absorption price: %d
PARTY_SKILL_SKILL_MASTER	Max. SP Skill Master +%.0f	
PARTY_SKILL_SP_REGEN	SP Regeneration +%.0f%%	
PARTY_SKILL_TANKER	Max. HP blade fighter +%.0f	
PARTY_SKILL_WARP	Possible to call group members.	
PASSWORD_TITLE	Storeroom password
PET_BAG_DESC	%s
PET_CAN_NOT_EGG_ITEM_USE	You cannot open your Incubator while trading or while you have your storeroom or a private shop open.
PET_CAN_NOT_FEED_SPLIT_ITEM	You cannot place any split items in this window.
PET_CAN_NOT_FEED_TYPE	You cannot feed your pet like that. Please try something else.
PET_CAN_NOT_OPEN_EVOL_BUTTON	Your pet must be level %d to train and promote it to the next stage of evolution.
PET_CAN_NOT_OPEN_EVOL_BUTTON_EXP_LACK	Your pet must have 100% experience to train and promote it to the next stage of evolution.
PET_CAN_NOT_OPEN_EVOL_BUTTON_LEVEL_MAX	Your pet already reached the highest stage of evolution.
PET_CAN_NOT_OPEN_SHOP_BECAUSE_SUMMON	You cannot open a private shop when you have summoned your pet.
PET_CAN_NOT_OPEN_SPECIAL_EVOL_BUTTON	Your pet must be %d days old to train and promote it to the next stage of evolution.
PET_CAN_NOT_SUMMON_BECAUSE_LIFE_TIME_END	You cannot call your pet because the duration has expired.
PET_CAN_NOT_USE_BAG	You cannot use the Transport Box because your pet has already expired.
PET_HATCHING_ACCEPT	Do you want to call your pet "%s"?
PET_HATCHING_MONEY	Price: %s
PET_HATCHING_WINDOW_OPEN_CAN_NOT_USE	You cannot carry out any other interactions while the Incubator is open.
PET_INFORMATION_STAGE1	Young
PET_INFORMATION_STAGE2	Wild
PET_INFORMATION_STAGE3	Valiant
PET_INFORMATION_STAGE4	Heroic
PET_INFO_EXP	Current experience:
PET_INFO_ITEM_EXP	Current item EXP
PET_INFO_NEXT_EXP	Remaining experience:
PET_INFO_NEXT_ITEM_EXP	Remaining item EXP
PET_MSG_NOT_ENOUGH_MONEY	You do not have enough Yang.
PET_NAME_CHANGE_ACCEPT	Do you want to change your pet's name to %s?
PET_NAME_MIN	The name entered is too short.
PET_SKILL_DELETE_QUESTION_DLG_MSG	Skills are now available.
PET_SKILL_LEARN_QUESTION_DLG_MSG	Do you want to start hero training with "%s"?
PET_SKILL_TOOLTIP_COOLTIME	Cooldown: %s seconds
PET_SKILL_TOOLTIP_DURATION	Duration: %d seconds
PET_SKILL_TOOLTIP_HEAL	When your HP drops below 20%%, you have \n a %d%% chance to increase your HP by %d.A
PET_SKILL_TOOLTIP_INVINVIBILITY	Your character has a %d%% chance to become invincible\n when your HP drops below 10%%. \n Effect duration: %.1f seconds.A
PET_SKILL_TOOLTIP_REMOVAL	There is a %d%% chance to immediately remove \n all effects like slow, poison or bleeding if your\n character is affected.N
PET_SKILL_UPGRADE_QUESTION_DLG_MSG1	Increase hero training to next stage?
PET_SKILL_UPGRADE_QUESTION_DLG_MSG2	Cost: %s
PET_TOOLTIP_COSTUME_BONUS	
PET_TOOLTIP_DEF	Defense
PET_TOOLTIP_HP	HP
PET_TOOLTIP_LEVEL	Level
PET_TOOLTIP_LIFETIME_OVER	Expired
PET_TOOLTIP_SKILL_BONUS_VALUE	in hero training
PET_TOOLTIP_SKILL_CUR_LEVEL	Level: %d
PET_TOOLTIP_SKILL_NEXT_LEVEL	Next level: %d (max. %d)
PET_TOOLTIP_SP	SP
PET_TOOLTIP_TRADABLE	Tradeable
PET_TOOLTUP_SKILL	%s (Stage %d)
PICK_ITEM_TITLE	Item Number	
PICK_MONEY_TITLE	Sum	
PRIVATESHOPSEARCH_ABLITY_POTION	Dew
PRIVATESHOPSEARCH_ACCESSORY_SOCKET	Fine Cloth
PRIVATESHOPSEARCH_ARMOR	Equipment
PRIVATESHOPSEARCH_ARROW	Arrows
PRIVATESHOPSEARCH_BELL	Bells
PRIVATESHOPSEARCH_BELT	Belts
PRIVATESHOPSEARCH_BLEND	Potions
PRIVATESHOPSEARCH_BLOOD_PEARL	Blood-Red/Golden Pearl
PRIVATESHOPSEARCH_BLUE_PEARL	Blue/Purple Pearl
PRIVATESHOPSEARCH_BODY	Armor
PRIVATESHOPSEARCH_BOW	Bows
PRIVATESHOPSEARCH_BUYTIME	Do you want to buy the selected item?
PRIVATESHOPSEARCH_CLAW	Claws
PRIVATESHOPSEARCH_CLEAR_POTION	Elixirs
PRIVATESHOPSEARCH_COSTUME	Costumes
PRIVATESHOPSEARCH_COSTUMEBODY	Costume
PRIVATESHOPSEARCH_COSTUMEHAIR	Hairstyle
PRIVATESHOPSEARCH_COSTUME_ACCE	Shoulder Sashes
PRIVATESHOPSEARCH_COSTUME_MOUNT	Mount
PRIVATESHOPSEARCH_CRYSTAL	Crystal
PRIVATESHOPSEARCH_DAGGER	Daggers
PRIVATESHOPSEARCH_DEAD	Dead
PRIVATESHOPSEARCH_DETACHMENT	Stone Handbook
PRIVATESHOPSEARCH_DIAMOND	Diamond
PRIVATESHOPSEARCH_DS	Dragon Stone Alchemy
PRIVATESHOPSEARCH_DS_BLACK	Onyx
PRIVATESHOPSEARCH_DS_BLUEpphire
PRIVATESHOPSEARCH_DS_GREEN	Jade
PRIVATESHOPSEARCH_DS_RED	Ruby
PRIVATESHOPSEARCH_DS_WHITE	Diamond
PRIVATESHOPSEARCH_DS_YELLOW	Garnet
PRIVATESHOPSEARCH_EAR	Earrings
PRIVATESHOPSEARCH_FAN	Fans
PRIVATESHOPSEARCH_FISH	Fish
PRIVATESHOPSEARCH_FOOTS	Shoes
PRIVATESHOPSEARCH_GEM	Gemstones
PRIVATESHOPSEARCH_GIFTBOX	Gift Boxes
PRIVATESHOPSEARCH_HEAD	Helmets
PRIVATESHOPSEARCH_LIVE	Alive
PRIVATESHOPSEARCH_MATERIAL	Materials
PRIVATESHOPSEARCH_METIN	Spirit Stones
PRIVATESHOPSEARCH_NECK	Necklaces
PRIVATESHOPSEARCH_NEED_ITEM_BUY	You cannot purchase any items without the correct bundle.
PRIVATESHOPSEARCH_NEED_ITEM_FIND	You cannot search for any items without the correct bundle.
PRIVATESHOPSEARCH_NODELAY_POTION	HP Items
PRIVATESHOPSEARCH_ORE	Ore
PRIVATESHOPSEARCH_PET	Pet System
PRIVATESHOPSEARCH_PETAGG	Pet Eggs
PRIVATESHOPSEARCH_PETSKILLBOOK	Pet Skill Books
PRIVATESHOPSEARCH_PICK	Pickaxes
PRIVATESHOPSEARCH_POTION	Potions
PRIVATESHOPSEARCH_QUEST	Quest
PRIVATESHOPSEARCH_QUIVER	Quivers
PRIVATESHOPSEARCH_RESOURCE	Item Improvement
PRIVATESHOPSEARCH_ROD	Fishing Poles
PRIVATESHOPSEARCH_SELECTITEM	Item selected
PRIVATESHOPSEARCH_SHIELD	Shields
PRIVATESHOPSEARCH_SKILLBOOK	Skill Books
PRIVATESHOPSEARCH_SKILLFORGET	Book of Forgetfulness
PRIVATESHOPSEARCH_SPECIAL	Miscellaneous
PRIVATESHOPSEARCH_STONE	Energy Fragments
PRIVATESHOPSEARCH_SWORD	One-Handed Swords
PRIVATESHOPSEARCH_TREASUREBOX	Chests
PRIVATESHOPSEARCH_TUNING	Scrolls
PRIVATESHOPSEARCH_TWOSWORD	Two-Handed Swords
PRIVATESHOPSEARCH_UNIQUE	Unique
PRIVATESHOPSEARCH_USEITEM	Consumables
PRIVATESHOPSEARCH_USESPECIAL	Miscellaneous
PRIVATESHOPSEARCH_WEAPON	Weapons
PRIVATESHOPSEARCH_WHITE_PEARL	White/Green Pearl
PRIVATESHOPSEARCH_WRIST	Bracelets
PRIVATE_SHOP_CANNOT_SELL_ITEM	You cannot sell this item in a private shop.
PRIVATE_SHOP_CLOSE_QUESTION	Do you want to close the private shop?
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	Name of the private shop.
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Price
PVP_LEVEL0	Chivalric	
PVP_LEVEL1	Noble	
PVP_LEVEL2	Good	
PVP_LEVEL3	Friendly	
PVP_LEVEL4	Neutral	
PVP_LEVEL5	Aggressive	
PVP_LEVEL6	Fraudulent	
PVP_LEVEL7	Malicious	
PVP_LEVEL8	Cruel	
PVP_MODE_GUILD	PvP Guild activated
PVP_MODE_KILL	PvP Free activated
PVP_MODE_NORMAL	PvP Peace activated
PVP_MODE_PROTECT	PvP Protection activated
PVP_MODE_REVENGE	PvP Hostile activated
PVP_OPTION_KILL	Free	
PVP_OPTION_NORMAL	Peace	
PVP_OPTION_PROTECT	Protection	
PVP_OPTION_REVENGE	Hostile	
QUEST_APPEND	New Quest acquired.	
QUEST_MIN	Min.	
QUEST_SEC	Sec.	
QUEST_TIMEOVER	Time Expired	
QUEST_UNLIMITED_TIME	No time limit.	
QUEST_ZEROSEC	0 Sec.	
QUICKSLOT_REGISTER_DISABLE_ITEM	This Item cannot be added to the Fast Access Field.	
RECEIVE_MESSAGE	%s sent you a message.	
REFINE_COST	Costs for Advancement: %d Yang
REFINE_DESTROY_WARNING	This Item could be destroyed while upgrading.	
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	Do you really want to upgrade this item?
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	If you fail, the item will be destroyed. Do you want to continue?
REFINE_DOWN_GRADE_WARNING	The Item could be down graded this way.	
REFINE_DO_YOU_SEPARATE_METIN	Do you want to remove all available spirit stones?
REFINE_FAILURE	Oh no, that didn't work! We've failed.
REFINE_FAILURE_CAN_NOT_ATTACH	%s cannot be included in that Item.	
REFINE_FAILURE_EQUIP_ITEM	You cannot upgrade equipped Items.
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	No spirit stone can be taken away.	
REFINE_FAILURE_NEED_BETTER_SCROLL	You need a better Advancement Scroll.	
REFINE_FAILURE_NO_GOLD_SOCKET	There is no Gold socket to include %s .	
REFINE_FAILURE_NO_MORE_SOCKET	You cannot add any more sockets.	
REFINE_FAILURE_NO_SOCKET0	There is no free socket for the %s.
REFINE_FAILURE_SOCKET_DISABLE_ITEM	You cannot add any more sockets to this item.	
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	This Item cannot be upgraded.
REFINE_SUCCESS	The advancement of the Item was successful.	
REFINE_SUCCESS_PROBALITY	Chance for Advancement %d%%	
REFINE_WARNING2	Do you want to continue?	
SAFEBOX_ERROR	You entered the wrong password.	
SAFEBOX_SELL_DISABLE_SAFEITEM	You cannot sell any of the saved Items.	
SAFEBOX_WRONG_PASSWORD	The passwords have to be identical.	
SCREENSHOT_SAVE1	is saved in	
SCREENSHOT_SAVE2	Screenshot File	
SCREENSHOT_SAVE_FAILUREving of Screenshot failed.	
SECOND	Sec	
SELECT_ATTR_NOTICE	You cannot open a private shop while using Enchant Item+.
SELECT_ATTR_NOT_OPEN	You cannot use Enchant Item+ while you have a private shop open.
SELECT_ATTR_NOT_SELECT	Decide whether you want to keep the bonuses or swap them.
SELECT_CAN_NOT_DELETE	You cannot delete the character.	
SELECT_CHANGED_NAME	You changed the name of the character.	
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	The character name is already existing.	
SELECT_CHANGE_FAILURE_STRANGE_INDEX	Try again.	
SELECT_CHANGE_FAILURE_STRANGE_NAME	That	
SELECT_CHANGE_NAME_TITLE	Change character name.	
SELECT_DELEING	Character will be deleted.	
SELECT_DELETED	Deletion successful.	
SELECT_DO_YOU_DELETE_REALLY	Do you want to continue?	
SELECT_EMPTY_SLOT	This is an empty field.	
SELECT_GM_NAME	GM	
SELECT_INPUT_CHANGING_NAME	Enter a new character name.	
SELECT_NOT_JOIN_GUILD	No Guild	
SHOP_BUY_INFO	Choose the Item you want to buy in the shop window.
SHOP_CANNOT_SELL_EQUIPMENT	You cannot sell  equipped Items.
SHOP_CANNOT_SELL_ITEM	This Item cannot be sold.
SHOP_ERROR_UNKNOWN	Unknown Shop Error: %s
SHOP_INVALID_POS	This Item cannot be used here.
SHOP_INVENTORY_FULL	Your inventory is full.
SHOP_NOT_ENOUGH_BATTLE_POINT	You do not have enough combat points.
SHOP_NOT_ENOUGH_MONEY	Not enough Won or Yang
SHOP_NOT_ENOUGH_MONEY_EX	You do not have enough Yang.
SHOP_SELL_INFO	Choose the Item you want to sell  in your inventory window.
SHOP_SOLDOUT	Sold Out
SHOT_ERROR_UNKNOWN	Unknown Error during Long Distance Attack: %s
SKILL_BLEEDING	Bleeding
SKILL_BOHO	Reflect	
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_BOOK	You need EXP to learn this Skill.	
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_STAT	You need a Book to learn this Skill.	
SKILL_CHEONGEUN	Strong Body	
SKILL_CRITICAL	Critical hit
SKILL_ENCHANT_POISON	Apply Poison	
SKILL_EUNHYEONG	Camouflage	
SKILL_FAINT	Blackout	
SKILL_FIND_TRAP	Find Trap	
SKILL_FIRE	Permanent Fire	
SKILL_FISHMIND	Fishing Marble is active
SKILL_GAMJI	Capture	
SKILL_GEOMGYEONG	Aura of the Sword	
SKILL_GICHEON	Dragon's Aid
SKILL_GIGONG	Chi Rotation	
SKILL_GONGPO	Fear	
SKILL_GRADE_NAME_GRAND_MASTER	%s Grand Master	
SKILL_GRADE_NAME_MASTER	%s Master	
SKILL_GRADE_NAME_PERFECT_MASTER	%s Perfect Master	
SKILL_GROUP_ASSASSIN_1	Blade	
SKILL_GROUP_ASSASSIN_2	Arc	
SKILL_GROUP_HORSE	Riding	
SKILL_GROUP_SHAMAN_1	Dragon	
SKILL_GROUP_SHAMAN_2	Healing	
SKILL_GROUP_SURA_1	Weapon	
SKILL_GROUP_SURA_2	Magic	
SKILL_GROUP_WARRIOR_1	Body	
SKILL_GROUP_WARRIOR_2	Mental	
SKILL_GWIGEOM	Enchanted Blade	
SKILL_GYEONGGONG	Feather Walking	
SKILL_HEUKSIN	Dark Protection	
SKILL_HOSIN	Blessing	
SKILL_INC_ATKSPD	Attack speed raised
SKILL_INC_MOVSPD	Movement speed raised
SKILL_JEOJU	Curse	
SKILL_JEONGEOP	Healing	
SKILL_JEONGWI	Battle Flush	
SKILL_JEONSINBANGEO	Full Defense	
SKILL_JEONSINGONGGYEOK	Full Attack	
SKILL_JEUNGRYEOK	Attack +	
SKILL_JEUNGSOK	Speed +	
SKILL_JUMAGAP	Enchanted Armor	
SKILL_KWAESOK	Speed	
SKILL_MUYEONG	Ghost of the Flame	
SKILL_NEED_EMPTY_BOTTLE	I do not have an Empty Bottle.	
SKILL_NEED_POISON_BOTTLE	I do not have a Poison Bottle	
SKILL_ONLY_FOR_GUILD_WAR	You can use this Skill during a Guild War only.	
SKILL_PABEOP	Neutralize Spell	
SKILL_POWERFUL_STRIKE	Dazing Attack	
SKILL_SEOMGWANG	Lightning Bomb	
SKILL_SLEEP	Sleep	
SKILL_SLOW	Slow	
SKILL_STUN	Daze	
SKILL_SUHO	Guard	
SKILL_SUMMON_DESCRIPTION	Chance of the Evocation: %d%%	
SKILL_TOOLTIP_INT	Intelligence	
SKILL_TOOLTIP_LEVEL	Level	
SKILL_TOXICDIE	Poisoning	
SKILL_TOXICPOWER	Poison attack value increased	
SKILL_TUSOK	Ghost Hit	
STAT_MINUS_CON	Vitality Adjustment (Remaining chance: %d)
STAT_MINUS_DEX	Dexterity Adjustment (Remaining Chance: %d)
STAT_MINUS_INT	Intelligence Adjustment (Rest of Chance: %d)	
STAT_MINUS_STR	Strength Adjustment (Rest of Chance: %d)	
STAT_TOOLTIP_CON	Increases HP and defense
STAT_TOOLTIP_DEX	Increases attack and evasion
STAT_TOOLTIP_INT	Increases SP, magic attack and defense
STAT_TOOLTIP_STR	Increases attack value and damage
SYMBOLLIST_TITLE	Register Guild flag	
SYSTEM_OPTION_CPU_TILING_1	CPU Tiling Mode can upgrade the speed of a weaker PC.	
SYSTEM_OPTION_CPU_TILING_2	If there are problem with the graphics choose either ,Systemoption‘ or ,CONFIG.exe‘	
SYSTEM_OPTION_CPU_TILING_3	and change to GPU Tiling Mode.	
SYSTEM_OPTION_GPU_TILING_1	GPU Tiling Mode can run slow on a weaker PC.
SYSTEM_OPTION_GPU_TILING_2	If there are problems with the graphics choose either 'System Options' or 'CONFIG.exe'
SYSTEM_OPTION_GPU_TILING_3	and change to GPU Tiling Mode.
SYSTEM_OPTION_TILING_EXIT	To change to Tiling mode, the game has to be restarted.
TARGET_BUTTON_ACCEPT_FIGHT	Agree	
TARGET_BUTTON_AVENGE	Revenge	
TARGET_BUTTON_BUILDING_DESTROY	Destroy	
TARGET_BUTTON_DISMOUNT	Dismount	
TARGET_BUTTON_EMOTION_ALLOW	Emotions	
TARGET_BUTTON_EXCHANGE	Trading	
TARGET_BUTTON_EXCLUDE	Exclude	
TARGET_BUTTON_EXIT_OBSERVER	End Observer Mode	
TARGET_BUTTON_FIGHT	Duel	
TARGET_BUTTON_FRIEND	Friend	
TARGET_BUTTON_INVITE_GUILD	Guild Invitation	
TARGET_BUTTON_INVITE_PARTY	Group Invitation	
TARGET_BUTTON_LEAVE_PARTY	Leave Group	
TARGET_BUTTON_REQUEST_ENTER_PARTY	Join Group	
TARGET_BUTTON_VIEW_EQUIPMENT	Equipment
TARGET_BUTTON_WHISPER	Whispering	
TARGET_LEVEL_BOSS	Boss	
TARGET_LEVEL_KING	Level 5.	
TARGET_LEVEL_KNIGHT	Level 3.	
TARGET_LEVEL_PAWN	Level 1.	
TARGET_LEVEL_S_KNIGHT	Level 4.	
TARGET_LEVEL_S_PAWN	Level 2.	
TASKBAR_ATTACK	Attack	
TASKBAR_AUTO	Attack automatically
TASKBAR_CAMERA	Camera	
TASKBAR_EXP	Experience	
TASKBAR_HP	HP	
TASKBAR_MOVE	Move	
TASKBAR_SKILL	Skill	
TASKBAR_SP	SP	
TASKBAR_ST	ST	
THING_COUNT	all	
TOOLTIP_AFFECT_POLYMORPH	Transform
TOOLTIP_ANTI_CRITICAL_PCT	Resistance against critical hits +%d%%
TOOLTIP_ANTI_PENETRATE_PCT	Resistance against piercing hits +%d%%
TOOLTIP_ANTI_SELL	Cannot be sold in the shop.
TOOLTIP_APPLY_ACCEDRAIN_RATE	Absorption rate: %d%%
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Strong against Animals +%d%%
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Strong against Ninjas +%d%%
TOOLTIP_APPLY_ATTBONUS_DEVIL	Strong against Devil +%d%%
TOOLTIP_APPLY_ATTBONUS_HUMAN	Strong against Half Humans +%d%%
TOOLTIP_APPLY_ATTBONUS_MILGYO	Strong against Mystics +%d%%
TOOLTIP_APPLY_ATTBONUS_MONSTER	Strong against Monster +%d%%
TOOLTIP_APPLY_ATTBONUS_ORC	Strong against Orcs +%d%%
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Strong against Shamans +%d%%
TOOLTIP_APPLY_ATTBONUS_SURA	Strong against Sura +%d%%
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Strong against Undead +%d%%
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Strong against Warriorr +%d%%
TOOLTIP_APPLY_ATTBONUS_WOLFMAN	Strong against Lycans + %d%%
TOOLTIP_APPLY_BLEEDING_PCT	Bleeding attack + %d%%
TOOLTIP_APPLY_BLEEDING_REDUCE	Resistance against bleeding attacks + %d%%
TOOLTIP_APPLY_BLOCK	Chance to block a close-combat attack %d%% 
TOOLTIP_APPLY_COMBAT_SP_RECOVER	Recover SP all 5 seconds in a Battle %d
TOOLTIP_APPLY_CRITICAL_PCT	Chance of critical hit +%d%% 
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	%d%% Chance to get back SP when hit
TOOLTIP_APPLY_DODGE	Chance to avoid Arrows %d%%
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	%d%% Chance for EXP Bonus
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	%d%% Chance to drop double Yang
TOOLTIP_APPLY_IMMUNE_FALL	Immune against falling down
TOOLTIP_APPLY_IMMUNE_SLOW	Defense against slowing
TOOLTIP_APPLY_IMMUNE_STUN	Defense against blackouts
TOOLTIP_APPLY_ITEM_DROP_BONUS	%d%% Chance to drop double the Items
TOOLTIP_APPLY_KILL_HP_RECOVER	%d%% Chance to restore HP
TOOLTIP_APPLY_KILL_SP_RECOVER	%d%% Chance to restore SP
TOOLTIP_APPLY_MANA_BURN_PCT	%d%% chance to rob mana
TOOLTIP_APPLY_MAX_HP_PCT	Max. HP +%d%% 
TOOLTIP_APPLY_MAX_SP_PCT	Max. SP +%d%% 
TOOLTIP_APPLY_NOAFFECT	No effect	
TOOLTIP_APPLY_NO_DEATH_PENALTY	No experience points will be lost if your character is revived at the place of his death. 
TOOLTIP_APPLY_PENETRATE_PCT	%d%% Chance for piercing Hits
TOOLTIP_APPLY_POISON_PCT	Poisoning chance %d%% 
TOOLTIP_APPLY_POISON_REDUCE	Poison Resistance %d%%
TOOLTIP_APPLY_POTION_BONUS	Potion %d%% effect raise
TOOLTIP_APPLY_REFLECT_CURSE	Chance to reflect Curse: %d%%
TOOLTIP_APPLY_REFLECT_MELEE	%d%% Chance to reflect close combat hits  
TOOLTIP_APPLY_RESIST_ASSASSIN	Defense chance against ninja attacks: %d%%
TOOLTIP_APPLY_RESIST_BELL	Bell Defense %d%%
TOOLTIP_APPLY_RESIST_CLAW	Defense chance against claws + %d%%
TOOLTIP_APPLY_RESIST_DAGGER	Dagger Defense %d%%
TOOLTIP_APPLY_RESIST_FAN	Fan Defense %d%%
TOOLTIP_APPLY_RESIST_SHAMAN	Defense chance against shaman attacks: %d%%
TOOLTIP_APPLY_RESIST_SURA	Defense chance against sura attacks: %d%%
TOOLTIP_APPLY_RESIST_SWORD	Sword Defense %d%%
TOOLTIP_APPLY_RESIST_TWOHAND	Two-Handed Defense %d%%
TOOLTIP_APPLY_RESIST_WARRIOR	Defense chance against warrior attacks: %d%%
TOOLTIP_APPLY_RESIST_WIND	Wind Resistance %d%%
TOOLTIP_APPLY_RESIST_WOLFMAN	Defense chance against Lycan attacks %d%%
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Chance to learn from books upgraded by factor 2.5 .
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	If learning fails you immediately have another try for free
TOOLTIP_APPLY_SLOW_PCT	Slowing chance %d%% 
TOOLTIP_APPLY_STEAL_HP	%d%% damage  will be absorbed by HP
TOOLTIP_APPLY_STEAL_SP	%d%% damage  will be absorbed by SP
TOOLTIP_APPLY_STUN_PCT	Blackout chance %d%% 
TOOLTIP_ARMOR	Armor	
TOOLTIP_ARROW	Arrow	
TOOLTIP_ASSASSIN	Ninja	
TOOLTIP_ATT_GRADE	Attack Value +%d
TOOLTIP_ATT_SPEED	Attack Speed +%d%%
TOOLTIP_ATT_SPEED_SLOW	Attack speed reduced
TOOLTIP_AUTO_POTION_HP	Sun Elixir
TOOLTIP_AUTO_POTION_REST	Remainder: %.2f%%
TOOLTIP_AUTO_POTION_SP	Moon Elixir
TOOLTIP_AUTO_POTION_USING	Active
TOOLTIP_AUTO_SYSTEM_PRIMIUM	Auto-Hunting
TOOLTIP_BATTLE_POTION	Combat Zone Battle Potion
TOOLTIP_BOW_DISTANCE	Arc Range +%dm
TOOLTIP_BUYPRICE	Price: %s	
TOOLTIP_CAST_SPEED	Casting Speed +%d%%
TOOLTIP_CON	Vitality +%d 
TOOLTIP_COSTUME_ATTR_BONUS	Costume bonus %d%% 
TOOLTIP_DEF_GRADE	Defense +%d
TOOLTIP_DEX	Dexterity +%d
TOOLTIP_DRAGON_SOUL_DECK1	Earth
TOOLTIP_DRAGON_SOUL_DECK2	Sky
TOOLTIP_EAR	Earring	
TOOLTIP_ENERGY	Energy %d 
TOOLTIP_ETC	And so on	
TOOLTIP_EXP_BONUS_EVENT	EXP +%d%%
TOOLTIP_FISHINGROD_EXP	Points %d / %d	
TOOLTIP_FISHINGROD_LEVEL	Level: %d	
TOOLTIP_FISHINGROD_UPGRADE1	Give to the Fisherman
TOOLTIP_FISHINGROD_UPGRADE2	to get a better
TOOLTIP_FISHINGROD_UPGRADE3	Fishing Pole.
TOOLTIP_FISH_LEN	Lenght: %.2fcm	
TOOLTIP_GUILD_SKILL_ACCEL	Acceleration +%d
TOOLTIP_GUILD_SKILL_BLESS	Blessing of the Dragon God +%d
TOOLTIP_GUILD_SKILL_BLOOD	Blood of the Dragon God +%d
TOOLTIP_GUILD_SKILL_BUNNO	Wrath of the Dragon God +%d%%
TOOLTIP_GUILD_SKILL_JUMUN	Casting Aid +%d%%
TOOLTIP_GUILD_SKILL_SEONGHWI	Holy Armour +%d
TOOLTIP_HELMET	Helmet	
TOOLTIP_HP_REGEN	HP Regeneration +%d%%
TOOLTIP_INT	Intelligence +%d
TOOLTIP_ITEM_ATT_GRADE	Attack Value %d	
TOOLTIP_ITEM_ATT_POWER	Attack Value %d - %d	
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	Attack Value %d	
TOOLTIP_ITEM_ATT_POWER_REFINE	Attack Value %d - %d (+%d)	
TOOLTIP_ITEM_ATT_SPEED	Attacking Speed %s	
TOOLTIP_ITEM_DEF_GRADE	Defense %d	
TOOLTIP_ITEM_FAST	Fast	
TOOLTIP_ITEM_LIMIT_CON	Vitality Upper Limit: %d
TOOLTIP_ITEM_LIMIT_DEX	Dexterity Upper Limit: %d
TOOLTIP_ITEM_LIMIT_INT	Intelligence Upper Limit: %d	
TOOLTIP_ITEM_LIMIT_LEVEL	From Level: %d	
TOOLTIP_ITEM_LIMIT_STR	Strenght Upper Limit: %d	
TOOLTIP_ITEM_MAGIC_ATT_POWER	Magical Attack Value %d - %d	
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	Magical Attack Value %d	
TOOLTIP_ITEM_MAGIC_DEF_POWER	Magical Defense %d	
TOOLTIP_ITEM_NORMAL	Normal	
TOOLTIP_ITEM_SLOW	Slow	
TOOLTIP_ITEM_VERY_FAST	Very fast	
TOOLTIP_ITEM_VERY_SLOW	Very slow	
TOOLTIP_ITEM_WEARABLE_JOB	[ Wearable ]
TOOLTIP_LOTTERY_STEP_NUMBER	%d	
TOOLTIP_LOTTO_NUMBER	Lucky Number: %d	
TOOLTIP_MAGIC_ATTBONUS_PER	Magic attack +%d%%
TOOLTIP_MAGIC_ATT_GRADE	Magical Attack Value +%d
TOOLTIP_MAGIC_DEF_GRADE	Magical Defense +%d
TOOLTIP_MALL_ATTBONUS	Attack Value +%d%%
TOOLTIP_MALL_ATTBONUS_STATIC	Attack Value +20%
TOOLTIP_MALL_AUTOLOOT	A hand that picks up dropped Yang automatically
TOOLTIP_MALL_DEFBONUS	Defense +%d%%
TOOLTIP_MALL_DEFBONUS_STATIC	Defense +20%
TOOLTIP_MALL_EXPBONUS	EXP +%d%%
TOOLTIP_MALL_EXPBONUS_P_STATIC	iCafe EXP Bonus +%d%%
TOOLTIP_MALL_EXPBONUS_STATIC	Increases gaining EXP by 50%
TOOLTIP_MALL_FISH_MIND	Your chance of catching a rare fish is doubled.
TOOLTIP_MALL_GOLDBONUS	Yang drop chance is increased by %.1f%%
TOOLTIP_MALL_GOLDBONUS_STATIC	Doubles your chance to capture Yang
TOOLTIP_MALL_ITEMBONUS	Item drop chance (%.1f)
TOOLTIP_MALL_ITEMBONUS_P_STATIC	iCafe Chance of capturing Items plus %.1f%%
TOOLTIP_MALL_ITEMBONUS_STATIC	Doubles your chances of capturing items
TOOLTIP_MALL_MARRIAGE_FAST	Lovepoints raise faster.
TOOLTIP_MALL_SAFEBOX	Your Storeroom gets 2 storage rooms
TOOLTIP_MAX_HP	Max. HP +%d
TOOLTIP_MAX_HP_PCT	Max. HP +%d%%
TOOLTIP_MAX_SP	Max. SP +%d
TOOLTIP_MAX_SP_PCT	Max. SP +%d%%
