ACCE_ABSORB_COST	Pret Absorbtie: %d
MC_WARP_QUESTION	Vrei sã te teleportezi în regiunea acestui monstru?
MESSENGER_ADD_FRIEND	Adaugã prieten
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	%s te-a acceptat ca prieten.
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	Accepþi?
MESSENGER_DO_YOU_DELETE	ªterge?
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	Vrei sã ºtergi numãrul de mobil?
MESSENGER_DO_YOU_MOVE	Mai departe?
MESSENGER_EMPTY_LIST	Gol
MESSENGER_FAMILY	Familie
MESSENGER_FRIEND	Prieteni
MESSENGER_GUILD	Breaslã
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	Trimite codul de pe telefonul mobil.
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	Introdu codul
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	Introdu numãrul de mobil pentru trimiterea SMS-ului.
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	Vrei sã introduci acum numãrul de mobil?
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	Introdu numãrul de mobil
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	Trimite mesaj.
METIN_TEST	
MINIMAP	Deschide mini harta
MINIMAP_CANNOT_SEE	Harta mini nu poate fi afiºatã.
MINIMAP_CAN_NOT_SHOW_AREAMAP	Harta mare nu poate fi afiºatã.
MINIMAP_DEC_SCALE	Minimeazã
MINIMAP_INC_SCALE	Maximeazã
MINIMAP_OBSERVER_COUNT	%d spectatori
MINIMAP_SHOW_AREAMAP	Deschide hartã mare
MINI_GAME_RUMI_DISCARD_QUESTION	Eºti sigur cã doreºti sã laºi acest card?
MINI_GAME_RUMI_EXIT_QUESTION	Doreºti sã termini jocul ºi sã colectezi premiul?\nScorul tãu ºi cãrþile rãmase se vor reseta!
MINI_GAME_RUMI_START_QUESTION	Trebuie sã plãteºti o taxã de %d Yang pentru a juca. Ai nevoie ºi de %d Set(uri) de Carduri.\nDoreºti sã începi jocul?
MINUTE	Min
MONETARY_UNIT0	Yang
MONETARY_UNIT1	zece mii
MONETARY_UNIT2	o sutã de milioane
MONEY_INPUT_DIALOG_SELLPRICE	Preþ de vânzare:
MOVE_ITEM_FAILURE_PRIVATE_SHOP	Nu poþi muta obiectul dacã ai deschis un magazin privat.
MUSIC_EMPTY_MUSIC_LIST	Nicio muzicã de fundal.
MUSIC_METIN2_DEFAULT_THEMA	Metin2 muzica standard
MUSIC_NOT_SELECT_MUSIC	Nu ai ales nici un fiºier de muzicã.
NEEFD_REST	Trebuie sã te odihneºti întâi.
NOT_YET_SUPPORT	Nu este suportat.
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Nu poþi activa modul breaslã dacã nu aparþii nici uneia.
OPTION_PVPMODE_NOT_SUPPORT	Nu poþi folosi configuraþia modului PvP.
OPTION_PVPMODE_PROTECT	Trebuie sã fi atins minim nivelul %d pentru a activa modul PvP.
PARTY_ANSWER_TIMEOVER	Invitatia a fost respinsa.
PARTY_BONUS_ATTACKER	Valoare atac: +%d
PARTY_BONUS_BERSERKER	Vitezã de atac: +%d
PARTY_BONUS_BUFFER	Durata Skill: +%d
PARTY_BONUS_DEFENDER	Apãrare: +%d
PARTY_BONUS_EXP	Bonus-EXP: %d%%
PARTY_BONUS_SKILL_MASTER	Max. PM: +%d
PARTY_BONUS_TANKER	Max. PV: +%d
PARTY_BREAK_UP	Sparge grupa
PARTY_DO_YOU_ACCEPT	doreºte sã se alãture Grupului.
PARTY_DO_YOU_JOIN	, accepti invitaþia de a intra în grup?
PARTY_EXP_DISTRIBUTION_MODE	Distribuire EXP
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	Adept level
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	Nivel mai înalt primeºte mai mult EXP.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	Egal
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Toþi membrii grupei primesc la fel de mult EXP.
PARTY_HEAL_ALL_MEMBER	Reface totul
PARTY_INCREASE_AREA_150	Autonomia grupei mãritã de 1,5 ori.
PARTY_INCREASE_AREA_200	Autonomia grupei mãritã de 2 ori.
PARTY_LEAVE	Pãrãseºte grupul
PARTY_LONGTIME_BONUS_EXP	EXP-bonus pentru joc de grupã lung: +%d%%
PARTY_MEMBER_OFFLINE	[Offline]
PARTY_RECALL_MEMBER	Strigã membru al grupei încoace.
PARTY_REGEN_BONUS	Bonus pentru regenerarea PV + PM: +%d%%
PARTY_REQUEST_DENIED	Cererea a fost refuzata.
PARTY_SET_ATTACKER	Stabileºte ca atacator.
PARTY_SET_BERSERKER	Stabileºte ca berserker.
PARTY_SET_BUFFER	Stabileºte ca blocant.
PARTY_SET_DEFENDER	Stabileºte ca apãrãtor.
PARTY_SET_NORMAL	Anuleazã setarea.
PARTY_SET_SKILL_MASTER	Stabileºte ca Maestru al Abilitãþii.
PARTY_SET_TANKER	Stabileºte ca luptãtor de apropiere.
PARTY_SKILL_ATTACKER	Valoare de bazã atac atacator +%.0f
PARTY_SKILL_BERSERKER	Viteza de atac berserker +%.0f
PARTY_SKILL_BUFFER	Durata Skill Blocant +%.0f
PARTY_SKILL_DEFENDER	Apãrare apãrãtor +%.0f
PARTY_SKILL_HP_REGEN	Regenerare PV +%.0f%%
PARTY_SKILL_PARTY_AREA	Autonomia grupei +%d%%
PARTY_SKILL_SKILL_MASTER	PM maestrul competenþei max. +%.0f
PARTY_SKILL_SP_REGEN	Regenerare PM +%.0f%%
PARTY_SKILL_TANKER	Max. PV luptator aproape +%.0f
PARTY_SKILL_WARP	Capacitate de a striga membri ai grupei încoace.
PASSWORD_TITLE	Parola depozit
PET_BAG_DESC	%s
PET_CAN_NOT_EGG_ITEM_USE	Nu poti deschide Incubatorul in timp ce faci negot, ai deschis depozitul sau un magazin privat.
PET_CAN_NOT_FEED_SPLIT_ITEM	Nu poti pune obiecte sparte in aceasta fereastra.
PET_CAN_NOT_FEED_TYPE	Nu poþi hrãni însoþitorul cu asta. Încearcã altceva.
PET_CAN_NOT_OPEN_EVOL_BUTTON	Insotitorul trebuie sa aiba nivelul %d pentru a-l antrena si promova la urmatorul stadiu de evolutie.
PET_CAN_NOT_OPEN_EVOL_BUTTON_EXP_LACK	Insotitorul trebuie sa aiba 100% experienta pentru a-l antrena si promova la urmatorul stadiu de evolutie.
PET_CAN_NOT_OPEN_EVOL_BUTTON_LEVEL_MAX	Insotitorul a atins deja cel mai inalt grad al evolutiei.
PET_CAN_NOT_OPEN_SHOP_BECAUSE_SUMMON	Nu poti deschide un magazin privat in timp ce ai chemat insotitorul.
PET_CAN_NOT_OPEN_SPECIAL_EVOL_BUTTON	Insotitorul trebuie sa aiba %d zile pentru a-l antrena si promova la urmatorul stadiu de evolutie.
PET_CAN_NOT_SUMMON_BECAUSE_LIFE_TIME_END	Nu poti chema insotitorul deoarece a expirat valabilitatea.
PET_CAN_NOT_USE_BAG	Nu poti folosi Cutia de Transport deoarece insotitorul tau deja a expirat.
PET_HATCHING_ACCEPT	Doresti sa iti chemi insotitorul '%s'?
PET_HATCHING_MONEY	Pret: %s
PET_HATCHING_WINDOW_OPEN_CAN_NOT_USE	Nu poti avea nicio alta actiune in timp ce Incubatorul este deschis.
PET_INFORMATION_STAGE1	Tânãr
PET_INFORMATION_STAGE2	Sãlbatic
PET_INFORMATION_STAGE3	Curajos
PET_INFORMATION_STAGE4	Eroic
PET_INFO_EXP	Experienta acumulata:
PET_INFO_ITEM_EXP	EXP obiect actual
PET_INFO_NEXT_EXP	Experienta ramasa:
PET_INFO_NEXT_ITEM_EXP	EXP obiect ramas
PET_MSG_NOT_ENOUGH_MONEY	Nu ai Yang suficient.
PET_NAME_CHANGE_ACCEPT	Doreºti sã schimbi numele însoþitorului în %s?
PET_NAME_MIN	Numele introdus este prea scurt.
PET_SKILL_DELETE_QUESTION_DLG_MSG	Abilitatile sunt acum disponibile.
PET_SKILL_LEARN_QUESTION_DLG_MSG	Doresti sa incepi antrenamentul pentru '%s'?
PET_SKILL_TOOLTIP_COOLTIME	Calmare: %s secunde
PET_SKILL_TOOLTIP_DURATION	Durata: %d secunde
PET_SKILL_TOOLTIP_HEAL	Cand PV scade sub 20%%, ai \n a %d%% sansa sa cresti PV cu %d.A
PET_SKILL_TOOLTIP_INVINVIBILITY	Caracterul tau are %d%% sansa sa devina invincibil \n atunci cand PV scade sub 10%%. \n Durata efect: %.1f secunde.A
PET_SKILL_TOOLTIP_REMOVAL	Exista o sansa de %d%% pentru a inlatura imediat \n toate efectele precum incetinirea, otravirea sau sangerarea daca \n a fost afectat caracterul.N
PET_SKILL_UPGRADE_QUESTION_DLG_MSG1	Treci antrenamentul la urmatorul nivel?
PET_SKILL_UPGRADE_QUESTION_DLG_MSG2	Pret: %s
PET_TOOLTIP_COSTUME_BONUS	
PET_TOOLTIP_DEF	Aparare
PET_TOOLTIP_HP	PV
PET_TOOLTIP_LEVEL	Nivel
PET_TOOLTIP_LIFETIME_OVER	Expirat
PET_TOOLTIP_SKILL_BONUS_VALUE	in antrenament
PET_TOOLTIP_SKILL_CUR_LEVEL	Nivel: %d
PET_TOOLTIP_SKILL_NEXT_LEVEL	Urmatorul nivel: %d (max. %d)
PET_TOOLTIP_SP	PM
PET_TOOLTIP_TRADABLE	Negociabil
PET_TOOLTUP_SKILL	%s (Stagiu %d)
PICK_ITEM_TITLE	Numãrul obiectului.
PICK_MONEY_TITLE	Suma
PRIVATESHOPSEARCH_ABLITY_POTION	Rouã
PRIVATESHOPSEARCH_ACCESSORY_SOCKET	Pânzã Finã
PRIVATESHOPSEARCH_ARMOR	Echipament
PRIVATESHOPSEARCH_ARROW	Sãgeþi
PRIVATESHOPSEARCH_BELL	Clopote
PRIVATESHOPSEARCH_BELT	Curele
PRIVATESHOPSEARCH_BLEND	Licori
PRIVATESHOPSEARCH_BLOOD_PEARL	perla rosie/aurie
PRIVATESHOPSEARCH_BLUE_PEARL	perla albastra/violet
PRIVATESHOPSEARCH_BODY	Armurã
PRIVATESHOPSEARCH_BOW	Arcuri
PRIVATESHOPSEARCH_BUYTIME	Vrei sã cumperi obiectul selectat?
PRIVATESHOPSEARCH_CLAW	Gheare
PRIVATESHOPSEARCH_CLEAR_POTION	Elixire
PRIVATESHOPSEARCH_COSTUME	Costume
PRIVATESHOPSEARCH_COSTUMEBODY	Costum
PRIVATESHOPSEARCH_COSTUMEHAIR	Coafurã
PRIVATESHOPSEARCH_COSTUME_ACCE	Eºarfe
PRIVATESHOPSEARCH_COSTUME_MOUNT	Mounþi
PRIVATESHOPSEARCH_CRYSTAL	Cristal
PRIVATESHOPSEARCH_DAGGER	Pumnale
PRIVATESHOPSEARCH_DEAD	Mort
PRIVATESHOPSEARCH_DETACHMENT	Cartea Pietrelor
PRIVATESHOPSEARCH_DIAMOND	Diamant
PRIVATESHOPSEARCH_DS	Alchimie Piatrã Dragon
PRIVATESHOPSEARCH_DS_BLACK	Onyx
PRIVATESHOPSEARCH_DS_BLUE	Safir
PRIVATESHOPSEARCH_DS_GREEN	Jad
PRIVATESHOPSEARCH_DS_RED	Rubin
PRIVATESHOPSEARCH_DS_WHITE	Diamant
PRIVATESHOPSEARCH_DS_YELLOW	Granat
PRIVATESHOPSEARCH_EAR	Cercei
PRIVATESHOPSEARCH_FAN	Evantaie
PRIVATESHOPSEARCH_FISH	Peºte
PRIVATESHOPSEARCH_FOOTS	Pantofi
PRIVATESHOPSEARCH_GEM	Pietre preþioase
PRIVATESHOPSEARCH_GIFTBOX	Cutii cu Cadouri
PRIVATESHOPSEARCH_HEAD	Coifuri
PRIVATESHOPSEARCH_LIVE	Viu
PRIVATESHOPSEARCH_MATERIAL	Materiale
PRIVATESHOPSEARCH_METIN	Pietrele Spiritului
PRIVATESHOPSEARCH_NECK	Coliere
PRIVATESHOPSEARCH_NEED_ITEM_BUY	Nu poþi achiziþiona niciun obiect fãrã mãnunchiul corect.
PRIVATESHOPSEARCH_NEED_ITEM_FIND	Nu poþi cãuta niciun obiect fãrã mãnunchiul corect.
PRIVATESHOPSEARCH_NODELAY_POTION	Obiecte cu PV
PRIVATESHOPSEARCH_ORE	Minereu
PRIVATESHOPSEARCH_PET	Sistem Însoþitori
PRIVATESHOPSEARCH_PETAGG	Ouã Însoþitori
PRIVATESHOPSEARCH_PETSKILLBOOK	Cãrþi de Abilitãþi pentru Însoþitor
PRIVATESHOPSEARCH_PICK	Târnãcoape
PRIVATESHOPSEARCH_POTION	Licori
PRIVATESHOPSEARCH_QUEST	Misiune
PRIVATESHOPSEARCH_QUIVER	Tolbe
PRIVATESHOPSEARCH_RESOURCE	Îmbunãtãþirea Obiectului
PRIVATESHOPSEARCH_ROD	Undiþe
PRIVATESHOPSEARCH_SELECTITEM	Obiecte selectate
PRIVATESHOPSEARCH_SHIELD	Scuturi
PRIVATESHOPSEARCH_SKILLBOOK	Carti de Abilitãþi
PRIVATESHOPSEARCH_SKILLFORGET	Cartea Uitãrii
PRIVATESHOPSEARCH_SPECIAL	Diverse
PRIVATESHOPSEARCH_STONE	Fragmente de Energie
PRIVATESHOPSEARCH_SWORD	Sãbii O Mânã
PRIVATESHOPSEARCH_TREASUREBOX	Cufere
PRIVATESHOPSEARCH_TUNING	Pergamente
PRIVATESHOPSEARCH_TWOSWORD	Sãbii Douã Mâini
PRIVATESHOPSEARCH_UNIQUE	Unic
PRIVATESHOPSEARCH_USEITEM	Consumabile
PRIVATESHOPSEARCH_USESPECIAL	Diverse
PRIVATESHOPSEARCH_WEAPON	Arme	
PRIVATESHOPSEARCH_WHITE_PEARL	perla alba/verde
PRIVATESHOPSEARCH_WRIST	Brãþãri
PRIVATE_SHOP_CANNOT_SELL_ITEM	Nu poþi vinde acest obiect în magazin.
PRIVATE_SHOP_CLOSE_QUESTION	Vrei sã închizi magazinul?
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	Numele magazinului
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Preþ
PVP_LEVEL0	Cavaler
PVP_LEVEL1	Nobil
PVP_LEVEL2	Bun
PVP_LEVEL3	Prietenos
PVP_LEVEL4	Neutru
PVP_LEVEL5	Agresiv
PVP_LEVEL6	Dezonorat
PVP_LEVEL7	Rautacios
PVP_LEVEL8	Crud
PVP_MODE_GUILD	Mod PvP-breaslã activat
PVP_MODE_KILL	PvP - liber activat.
PVP_MODE_NORMAL	PvP - pace activat.
PVP_MODE_PROTECT	PvP - protecþie activat.
PVP_MODE_REVENGE	PvP - agresiv activat.
PVP_OPTION_KILL	Liber
PVP_OPTION_NORMAL	Pace
PVP_OPTION_PROTECT	Protecþie
PVP_OPTION_REVENGE	Agresiv
QUEST_APPEND	Misiune noua înregistrata.
QUEST_MIN	Min.
QUEST_SEC	Sec.
QUEST_TIMEOVER	Timpul a expirat
QUEST_UNLIMITED_TIME	Nici o limitã de timp
QUEST_ZEROSEC	0 sec.
QUICKSLOT_REGISTER_DISABLE_ITEM	Acest obiect nu poate fi adãugat la câmpul de acces rapid.
RECEIVE_MESSAGE	%s þi-a trimis un mesaj.
REFINE_COST	Costuri de îmbunãtãþire: %d Yang
REFINE_DESTROY_WARNING	Obiectul poate fi distrus prin înnobilare.
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	Eºti sigur cã doreºti sã îmbunãtãþeºti acest obiect?
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	Dar dacã nu îþi reuºeºte, obiectul va fi distrus. Doreºti sã continui?
REFINE_DOWN_GRADE_WARNING	Obiectul poate fi distrus prin înnobilare.
REFINE_DO_YOU_SEPARATE_METIN	Doreºti sã înlãturi toate Pietrele Spiritului disponibile?
REFINE_FAILURE	Oh nu, nu a mers! Ai eºuat.
REFINE_FAILURE_CAN_NOT_ATTACH	%s nu poate fi adãugat obiectului.
REFINE_FAILURE_EQUIP_ITEM	Nu poþi îmbunãtãþi Obiectele echipate.
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	Nu poate fi indepartata nicio piatrã a spiritului.
REFINE_FAILURE_NEED_BETTER_SCROLL	Ai nevoie de un pergament de îmbunãtãþire mai bun.
REFINE_FAILURE_NO_GOLD_SOCKET	Nu existã suport de aur pentru a adãuga %s.
REFINE_FAILURE_NO_MORE_SOCKET	Nu poþi sã mai adaugi suporturi.
REFINE_FAILURE_NO_SOCKET0	Nu existã suport pentru a adãuga %s.
REFINE_FAILURE_SOCKET_DISABLE_ITEM	Acestui obiect nu îi poate fi adãugat un suport.
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	Acest obiect nu poate fi îmbunãtãþit.
REFINE_SUCCESS	Îmbunãtãþirea obiectului a reuºit.
REFINE_SUCCESS_PROBALITY	ªansã de îmbunãtãþire: %d%%
REFINE_WARNING2	Vrei sã continui?
SAFEBOX_ERROR	Ai introdus o parolã greºitã.
SAFEBOX_SELL_DISABLE_SAFEITEM	Nu poþi vinde nici unul din obiectele salvate.
SAFEBOX_WRONG_PASSWORD	Parolele trebuie sã fie identice.
SCREENSHOT_SAVE1	e salvat în
SCREENSHOT_SAVE2	Directorul screenshot
SCREENSHOT_SAVE_FAILURE	Salvarea screenshotului eºuatã.
SECOND	Sec
SELECT_ATTR_NOTICE	Nu poti deschide un magazin privat in timp ce folosesti Vrajeste Obiectul+.
SELECT_ATTR_NOT_OPEN	Nu poti folosi Vrajeste Obiectul+ daca ai deschis un magazin privat.
SELECT_ATTR_NOT_SELECT	Decide daca doresti sa pastrezi sau sa schimbi bonusurile.
SELECT_CAN_NOT_DELETE	Nu poþi ºterge caracterul.
SELECT_CHANGED_NAME	Ai schimbat numele caracterului.
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	Numele caracterului existã deja.
SELECT_CHANGE_FAILURE_STRANGE_INDEX	Mai încearcã odatã.
SELECT_CHANGE_FAILURE_STRANGE_NAME	Numele caracterului este greºit.
SELECT_CHANGE_NAME_TITLE	Schimbã numele caracterului
SELECT_DELEING	Caracterul se va ºterge
SELECT_DELETED	ªtergerea s-a realizat.
SELECT_DO_YOU_DELETE_REALLY	Vrei sã continui?
SELECT_EMPTY_SLOT	Acesta este un câmp gol.
SELECT_GM_NAME	GM
SELECT_INPUT_CHANGING_NAME	Introdu un nou nume.
SELECT_NOT_JOIN_GUILD	Nici o breaslã
SHOP_BUY_INFO	Alege Obiectul pe care vrei sã-l cumperi în fereastra magazinului.
SHOP_CANNOT_SELL_EQUIPMENT	Nu poþi vinde Obiectele echipate.
SHOP_CANNOT_SELL_ITEM	Acest obiect nu este de vânzare.
SHOP_ERROR_UNKNOWN	Eroare Necunoscuta Magazin: %s
SHOP_INVALID_POS	Acest obiect este nepotrivit.
SHOP_INVENTORY_FULL	Nu mai existã loc în inventar.
SHOP_NOT_ENOUGH_BATTLE_POINT	Nu ai suficiente puncte de luptã.
SHOP_NOT_ENOUGH_MONEY	Nu ai destul Yang
SHOP_NOT_ENOUGH_MONEY_EX	Nu ai suficient Yang.
SHOP_SELL_INFO	Alege Obiectul pe care vrei sã-l vinzi din fereastra inventarului tãu.
SHOP_SOLDOUT	Vândut
SHOT_ERROR_UNKNOWN	Eroare necunoscutã în timpul atacului la distanþã: %s
SKILL_BLEEDING	Sangerare
SKILL_BOHO	Reflectare
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_BOOK	Ai nevoie de EXP pentru a învãþa calificarea aceasta.
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_STAT	Ai nevoie de o carte pentru a învãþa aceastã calificare.
SKILL_CHEONGEUN	Corp puternic
SKILL_CRITICAL	Loviturã criticã
SKILL_ENCHANT_POISON	Foloseºte otravã
SKILL_EUNHYEONG	Invizibil
SKILL_FAINT	Necunoºtiinþã
SKILL_FIND_TRAP	Cautã capcanã
SKILL_FIRE	Foc Permanent
SKILL_FISHMIND	Marmura de pescuit este activã
SKILL_GAMJI	Înregistrare
SKILL_GEOMGYEONG	Aura sabiei
SKILL_GICHEON	Ajutorul Dragonului
SKILL_GIGONG	Rotaþia Chi
SKILL_GONGPO	Fricã
SKILL_GRADE_NAME_GRAND_MASTER	%s Mare maestru
SKILL_GRADE_NAME_MASTER	%s Maestru
SKILL_GRADE_NAME_PERFECT_MASTER	%s maestru perfect
SKILL_GROUP_ASSASSIN_1	Lamã
SKILL_GROUP_ASSASSIN_2	Arc
SKILL_GROUP_HORSE	Cãlãrie
SKILL_GROUP_SHAMAN_1	Zmeu
SKILL_GROUP_SHAMAN_2	Vindecare
SKILL_GROUP_SURA_1	Arme
SKILL_GROUP_SURA_2	Magie
SKILL_GROUP_WARRIOR_1	Corp
SKILL_GROUP_WARRIOR_2	Mental
SKILL_GWIGEOM	Lamã fermecatã
SKILL_GYEONGGONG	Uºurare
SKILL_HEUKSIN	Protecþie întunecatã
SKILL_HOSIN	Binecuvântare
SKILL_INC_ATKSPD	Viteza de atac a crescut
SKILL_INC_MOVSPD	Viteza de miºcare a crescut
SKILL_JEOJU	Blestem
SKILL_JEONGEOP	Vindecare
SKILL_JEONGWI	Beþia de luptã
SKILL_JEONSINBANGEO	Apãrare deplinã
SKILL_JEONSINGONGGYEOK	Atac deplin
SKILL_JEUNGRYEOK	Atac +
SKILL_JEUNGSOK	Vitezã +
SKILL_JUMAGAP	Armurã fermecatã
SKILL_KWAESOK	Repeziciune
SKILL_MUYEONG	Spiritul focului
SKILL_NEED_EMPTY_BOTTLE	Nu am nici o sticlã goalã.
SKILL_NEED_POISON_BOTTLE	Nu am nici o sticlã de otravã.
SKILL_ONLY_FOR_GUILD_WAR	Poþi folosi aceastã calificare doar într-un rãzboi de bresle.
SKILL_PABEOP	Alungã vraja.
SKILL_POWERFUL_STRIKE	Atac anestezie
SKILL_SEOMGWANG	Bombã fulger
SKILL_SLEEP	Somn
SKILL_SLOW	Încet
SKILL_STUN	Anestezia
SKILL_SUHO	Paznic
SKILL_SUMMON_DESCRIPTION	ªansa incantaþiei: %d%%
SKILL_TOOLTIP_INT	Inteligenþã
SKILL_TOOLTIP_LEVEL	Nivel
SKILL_TOXICDIE	Otrãvire
SKILL_TOXICPOWER	Atac otrãvitor îmbunãtãþit
SKILL_TUSOK	Loviturã de stafie
STAT_MINUS_CON	Adaptarea Vitalitãþii (ªansa rãmasã: %d)
STAT_MINUS_DEX	Adaptarea Dexteritãþii (ªansa rãmasã: %d)
STAT_MINUS_INT	Adaptarea inteligenþei (ªansa rãmasã: %d)
STAT_MINUS_STR	Ajustarea Puterii (ªansã rãmasã: %d)
STAT_TOOLTIP_CON	Creºte PV ºi apãrarea
STAT_TOOLTIP_DEX	Creºte atacul ºi evadarea
STAT_TOOLTIP_INT	Creºte PM, atacul magic ºi apãrarea
STAT_TOOLTIP_STR	Creºte valoarea atacului ºi daunele
SYMBOLLIST_TITLE	Anunþã steagul breslei
SYSTEM_OPTION_CPU_TILING_1	Modul CPU-Tiling poate îmbunãtãþi vinteza unui computer mai slab.
SYSTEM_OPTION_CPU_TILING_2	Dacã apar probleme cu grafica, alege ,System Option‘ sau ,CONFIG.exe‘
SYSTEM_OPTION_CPU_TILING_3	ºi treci astfel în modul GPU-Tiling
SYSTEM_OPTION_GPU_TILING_1	Modul GPU-Tiling poate rula mai încet pe un computer mai slab
SYSTEM_OPTION_GPU_TILING_2	Dacã sunt probleme cu grafica, "System Options" sau "CONFIG.exe"
SYSTEM_OPTION_GPU_TILING_3	ºi treci astfel în modul GPU-Tiling
SYSTEM_OPTION_TILING_EXIT	Pentru trecerea în modul Placare, jocul trebuie re-pornit.
TARGET_BUTTON_ACCEPT_FIGHT	Aprobã
TARGET_BUTTON_AVENGE	Rãzbunare
TARGET_BUTTON_BUILDING_DESTROY	Distruge
TARGET_BUTTON_DISMOUNT	Descalecã
TARGET_BUTTON_EMOTION_ALLOW	Emoþii
TARGET_BUTTON_EXCHANGE	Negociazã
TARGET_BUTTON_EXCLUDE	Exclude
TARGET_BUTTON_EXIT_OBSERVER	Închide modul spectator
TARGET_BUTTON_FIGHT	Duel
TARGET_BUTTON_FRIEND	Prieten
TARGET_BUTTON_INVITE_GUILD	Invitaþia breslei
TARGET_BUTTON_INVITE_PARTY	Invitaþia grupei
TARGET_BUTTON_LEAVE_PARTY	Pãrãseºte grupa
TARGET_BUTTON_REQUEST_ENTER_PARTY	Alãturã-te grupei
TARGET_BUTTON_VIEW_EQUIPMENT	Armament
TARGET_BUTTON_WHISPER	ªoaptã
TARGET_LEVEL_BOSS	Boss
TARGET_LEVEL_KING	Categoria 5.
TARGET_LEVEL_KNIGHT	Categoria 3.
TARGET_LEVEL_PAWN	Categoria 1
TARGET_LEVEL_S_KNIGHT	Categoria 4
TARGET_LEVEL_S_PAWN	Categoria 2
TASKBAR_ATTACK	Atacã
TASKBAR_AUTO	Atacã automat
TASKBAR_CAMERA	Camerã
TASKBAR_EXP	Experienþã
TASKBAR_HP	PV
TASKBAR_MOVE	Miºca
TASKBAR_SKILL	Calificare
TASKBAR_SP	PM
TASKBAR_ST	AP
THING_COUNT	toate
TOOLTIP_AFFECT_POLYMORPH	Transformã
TOOLTIP_ANTI_CRITICAL_PCT	Rezistenþã la lovitura criticã +%d%%
TOOLTIP_ANTI_PENETRATE_PCT	Rezistenþã la lovitura pãtrunzãtoare +%d%%
TOOLTIP_ANTI_SELL	Nu poate fi vândut în magazin.
TOOLTIP_APPLY_ACCEDRAIN_RATE	Rata de absorbtie: %d%%
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Tare împotriva animalelor +%d%%
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Tare împotriva ninja +%d%%
TOOLTIP_APPLY_ATTBONUS_DEVIL	Tare împotriva diavolului +%d%%
TOOLTIP_APPLY_ATTBONUS_HUMAN	Tare împotriva semi-oamenilor +%d%%
TOOLTIP_APPLY_ATTBONUS_MILGYO	Tare împotriva esotericilor +%d%%
TOOLTIP_APPLY_ATTBONUS_MONSTER	Tare împotriva monºtrilor +%d%%
TOOLTIP_APPLY_ATTBONUS_ORC	Tare împotriva orcilor +%d%%
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Tare împotriva ºamanilor +%d%%
TOOLTIP_APPLY_ATTBONUS_SURA	Tare împotriva sura +%d%%
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Puternic împotriva vampirilor +%d%%
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Tare împotriva rãzboinicilor +%d%%
TOOLTIP_APPLY_ATTBONUS_WOLFMAN	Puternic impotriva Lycanilor + %d%%
TOOLTIP_APPLY_BLEEDING_PCT	Atac sangeros + %d%%
TOOLTIP_APPLY_BLEEDING_REDUCE	Rezistenta impotriva atacului sangeros + %d%%
TOOLTIP_APPLY_BLOCK	ªansa de a bloca un atac corporal +%d%%
TOOLTIP_APPLY_COMBAT_SP_RECOVER	Reface în luptã PM la interval de 5 sec. %d
TOOLTIP_APPLY_CRITICAL_PCT	ªansa de loviturã criticã +%d%%
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	ªansã %d%% de a primi înapoi PM la lovituri reuºite
TOOLTIP_APPLY_DODGE	ªansã %d%% de a evita atacul cu sãgeþi
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	ªansã %d%% la bonus-EXP
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	ªansã %d%% de a arunca de douã ori mai mult Yang
TOOLTIP_APPLY_IMMUNE_FALL	Imun la cãzãturã
TOOLTIP_APPLY_IMMUNE_SLOW	Aparare impotriva incetinirii
TOOLTIP_APPLY_IMMUNE_STUN	Aparare impotriva necunostintei
